10
48249.065671,21582.495905,95025.237415,92012.825373,14766.001484,88106.216952,64108.059635,43195.341833,61959.648398,28105.941249
78600.209804,30745.787381,44703.357926,22610.662523,18753.310962,27623.467214,55644.375535,41650.128064,16960.708627,90680.393387
10317.118852,12607.533918,49544.406664,76047.522845,98475.166503,93500.398656,68444.501690,38318.833127,74977.088245,36866.354174
29416.036207,23226.153869,58448.850069,24441.273576,15238.979195,73214.851589,12547.490481,79347.038820,16410.193375,74507.138915
7452.980069,95010.403169,5252.926250,52156.337985,17621.065646,24006.237248,79779.805189,73265.441171,65656.365302,96740.513853
63945.834558,75973.484191,9348.047724,13490.241176,52021.006989,7823.214181,6990.639785,20465.508633,46142.047345,81967.728020
57331.862844,75558.083542,5193.881889,15780.712866,99999.357108,20432.861074,88995.564446,12546.847589,99779.899931,5405.757774
87053.986494,7232.879953,416.160897,92306.912734,59389.217928,18037.226580,16313.149936,39169.023071,91302.667741,81969.515274
35909.536877,55248.502253,57942.999418,45257.584591,68738.743465,9964.006361,53080.798808,75729.383240,30429.514984,99222.846143
57697.111260,87761.377818,74780.929638,62890.993138,3542.090684,74780.286700,83323.854202,92537.655120,87327.134279,83103.754086
